Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 14/07/2017
Graph title  : Title
Points       : 99
Pen legend   : 17:00:12
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	1.74349106e+002	5.73561875e-003	-1.32301598e+001	1.69721631e+002	-3.99021148e+001	5.58338721e-003	1.31267274e-003
3.50667900e+006	1.79584000e+002	5.56842482e-003	-1.19976702e+001	1.75661176e+002	-3.73304701e+001	5.44678845e-003	1.15751914e-003
3.07420000e+006	1.84976105e+002	5.40610368e-003	-1.09555502e+001	1.81604900e+002	-3.51542270e+001	5.30757699e-003	1.02741593e-003
2.69505900e+006	1.88660507e+002	5.30052640e-003	-1.01504297e+001	1.85707677e+002	-3.32482417e+001	5.21756494e-003	9.34128640e-004
2.36267700e+006	1.91786804e+002	5.21412307e-003	-9.36523914e+000	1.89230491e+002	-3.12089656e+001	5.14462438e-003	8.48480624e-004
2.07128800e+006	1.93051804e+002	5.17995679e-003	-8.77827835e+000	1.90790455e+002	-2.94618623e+001	5.11928038e-003	7.90519285e-004
1.81583600e+006	1.94964905e+002	5.12912825e-003	-8.30401897e+000	1.92920827e+002	-2.81579254e+001	5.07535273e-003	7.40777477e-004
1.59188900e+006	1.96250900e+002	5.09551803e-003	-7.85673189e+000	1.94408688e+002	-2.68268118e+001	5.04768627e-003	6.96539495e-004
1.39556100e+006	1.96897003e+002	5.07879746e-003	-7.48232079e+000	1.95220443e+002	-2.56399800e+001	5.03555196e-003	6.61362353e-004
1.22344600e+006	1.98195694e+002	5.04551830e-003	-7.09465694e+000	1.96678201e+002	-2.44789396e+001	5.00688708e-003	6.23166603e-004
1.07255900e+006	1.98848297e+002	5.02895933e-003	-6.65136719e+000	1.97509913e+002	-2.30321388e+001	4.99511103e-003	5.82492739e-004
9.40280313e+005	1.98848297e+002	5.02895933e-003	-6.41752195e+000	1.97602271e+002	-2.22258383e+001	4.99744679e-003	5.62101052e-004
8.24315375e+005	2.00159805e+002	4.99600806e-003	-6.17463779e+000	1.98998613e+002	-2.15290446e+001	4.96702458e-003	5.37367031e-004
7.22652563e+005	2.01479996e+002	4.96327189e-003	-5.96775293e+000	2.00388089e+002	-2.09476157e+001	4.93637378e-003	5.16024988e-004
6.33527750e+005	2.02143402e+002	4.94698313e-003	-5.70994711e+000	2.01140430e+002	-2.01117524e+001	4.92243774e-003	4.92187717e-004
5.55394813e+005	2.02143402e+002	4.94698313e-003	-5.57784986e+000	2.01186263e+002	-1.96479637e+001	4.92355941e-003	4.80837582e-004
4.86897906e+005	2.04146606e+002	4.89844048e-003	-5.44037819e+000	2.03227007e+002	-1.93551182e+001	4.87637494e-003	4.64420625e-004
4.26848781e+005	2.04818802e+002	4.88236427e-003	-5.43002510e+000	2.03899680e+002	-1.93820056e+001	4.86045472e-003	4.62018187e-004
3.74205469e+005	2.06169693e+002	4.85037343e-003	-5.45947981e+000	2.05234452e+002	-1.96153503e+001	4.82837083e-003	4.61473131e-004
3.28054688e+005	2.07529602e+002	4.81858969e-003	-5.44136000e+000	2.06594426e+002	-1.96793999e+001	4.79687602e-003	4.56932179e-004
