Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 14/07/2017
Graph title  : Title
Points       : 294
Pen legend   : 14:41:38
Resonance    : N/A
Capacitance  : 9.53498365e-006 F at 1.12074003e+001 Hz
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
9.99994043e+003	1.22195597e+001	8.18360094e-002	-9.26686192e+000	1.20600824e+001	-1.96775269e+000	8.07679691e-002	1.31783004e-002
9.76696973e+003	1.22599096e+001	8.15666698e-002	-9.44277382e+000	1.20937873e+001	-2.01139064e+000	8.04614378e-002	1.33820265e-002
9.53942285e+003	1.22195597e+001	8.18360094e-002	-9.66262817e+000	1.20462027e+001	-2.05100919e+000	8.06750149e-002	1.37358802e-002
9.31712305e+003	1.23003902e+001	8.12982336e-002	-9.88247871e+000	1.21178753e+001	-2.11108943e+000	8.00919188e-002	1.39530404e-002
9.10000879e+003	1.23003902e+001	8.12982336e-002	-1.01023302e+001	1.21096856e+001	-2.15757167e+000	8.00377897e-002	1.42602602e-002
8.88802148e+003	1.23003902e+001	8.12982336e-002	-1.03661203e+001	1.20996238e+001	-2.21330167e+000	7.99712873e-002	1.46286023e-002
8.68092285e+003	1.23003902e+001	8.12982336e-002	-1.05859604e+001	1.20910425e+001	-2.25971071e+000	7.99145698e-002	1.49353383e-002
8.47865234e+003	1.23003902e+001	8.12982336e-002	-1.08058004e+001	1.20822831e+001	-2.30608648e+000	7.98566758e-002	1.52418544e-002
8.28109180e+003	1.23817501e+001	8.07640270e-002	-1.10256395e+001	1.21532040e+001	-2.36798803e+000	7.92732603e-002	1.54459787e-002
8.08812158e+003	1.23817501e+001	8.07640270e-002	-1.12454700e+001	1.21440292e+001	-2.41459948e+000	7.92134144e-002	1.57500173e-002
7.89968213e+003	1.24226398e+001	8.04981882e-002	-1.14652996e+001	1.21747494e+001	-2.46930303e+000	7.88918685e-002	1.60009807e-002
7.71559424e+003	1.23817501e+001	8.07640270e-002	-1.16851301e+001	1.21251434e+001	-2.50771488e+000	7.90902254e-002	1.63573930e-002
7.53585791e+003	1.24226398e+001	8.04981882e-002	-1.20368004e+001	1.21495139e+001	-2.59061607e+000	7.87283437e-002	1.67870841e-002
7.36023535e+003	1.24226398e+001	8.04981882e-002	-1.23445101e+001	1.21354258e+001	-2.65582794e+000	7.86370530e-002	1.72096543e-002
7.18872607e+003	1.24636602e+001	8.02332526e-002	-1.25203896e+001	1.21672610e+001	-2.70195988e+000	7.83252193e-002	1.73935285e-002
7.02127051e+003	1.24636602e+001	8.02332526e-002	-1.27841501e+001	1.21546936e+001	-2.75794292e+000	7.82443187e-002	1.77539123e-002
6.85763037e+003	1.25048103e+001	7.99692257e-002	-1.30918598e+001	1.21797873e+001	-2.83250122e+000	7.78906783e-002	1.81140636e-002
6.69786475e+003	1.25460997e+001	7.97060463e-002	-1.33995705e+001	1.22045649e+001	-2.90744080e+000	7.75362576e-002	1.84711278e-002
6.54179541e+003	1.25460997e+001	7.97060463e-002	-1.36633301e+001	1.21910513e+001	-2.96359319e+000	7.74504050e-002	1.88278670e-002
6.38936279e+003	1.25460997e+001	7.97060463e-002	-1.39710302e+001	1.21749600e+001	-3.02902072e+000	7.73481758e-002	1.92435316e-002
6.24050684e+003	1.25875301e+001	7.94437026e-002	-1.43226805e+001	1.21962830e+001	-3.11393565e+000	7.69744240e-002	1.96529879e-002
6.09510840e+003	1.25875301e+001	7.94437026e-002	-1.45424900e+001	1.21842470e+001	-3.16070244e+000	7.68984610e-002	1.99481472e-002
5.95310791e+003	1.26290903e+001	7.91822669e-002	-1.49820204e+001	1.21997896e+001	-3.26482092e+000	7.64906239e-002	2.04698767e-002
5.81438623e+003	1.26707897e+001	7.89216791e-002	-1.52018204e+001	1.22274155e+001	-3.32253243e+000	7.61600646e-002	2.06948299e-002
5.67888379e+003	1.26707897e+001	7.89216791e-002	-1.56852999e+001	1.21989440e+001	-3.42559163e+000	7.59827259e-002	2.13367477e-002
5.54660059e+003	1.27126303e+001	7.86619274e-002	-1.59050999e+001	1.22259516e+001	-3.48383050e+000	7.56505066e-002	2.15568939e-002
5.41735742e+003	1.27545996e+001	7.84030886e-002	-1.63006802e+001	1.22418897e+001	-3.57993681e+000	7.52514381e-002	2.20060302e-002
5.29109521e+003	1.27545996e+001	7.84030886e-002	-1.66523094e+001	1.22196889e+001	-3.65499848e+000	7.51149689e-002	2.24674376e-002
5.16781348e+003	1.28389702e+001	7.78878668e-002	-1.69599991e+001	1.22805859e+001	-3.74517885e+000	7.45004177e-002	2.27202017e-002
5.04739307e+003	1.28813601e+001	7.76315541e-002	-1.73116302e+001	1.22978398e+001	-3.83308919e+000	7.41148771e-002	2.31007184e-002
4.92983447e+003	1.28813601e+001	7.76315541e-002	-1.76632595e+001	1.22740844e+001	-3.90848946e+000	7.39717111e-002	2.35551301e-002
4.81495850e+003	1.29238997e+001	7.73760264e-002	-1.81027699e+001	1.22841758e+001	-4.01574486e+000	7.35459681e-002	2.40424631e-002
4.70276514e+003	1.29665699e+001	7.71213982e-002	-1.85422897e+001	1.22934648e+001	-4.12342788e+000	7.31179644e-002	2.45249534e-002
4.59319482e+003	1.30093899e+001	7.68675556e-002	-1.88060207e+001	1.23148887e+001	-4.19377417e+000	7.27640112e-002	2.47794226e-002
4.48612793e+003	1.30523396e+001	7.66146173e-002	-1.92455292e+001	1.23229062e+001	-4.30227270e+000	7.23329898e-002	2.52534785e-002
4.38162500e+003	1.30954399e+001	7.63624595e-002	-1.97289906e+001	1.23267358e+001	-4.42064836e+000	7.18799725e-002	2.57777962e-002
4.27950586e+003	1.31386805e+001	7.61111440e-002	-2.00806103e+001	1.23399866e+001	-4.51105914e+000	7.14843854e-002	2.61321426e-002
4.17983154e+003	1.31386805e+001	7.61111440e-002	-2.03882809e+001	1.23155850e+001	-4.57725784e+000	7.13430294e-002	2.65156255e-002
4.08242236e+003	1.32255898e+001	7.56109950e-002	-2.08277893e+001	1.23613416e+001	-4.70249499e+000	7.06700685e-002	2.68842699e-002
3.98727856e+003	1.32692604e+001	7.53621505e-002	-2.13112392e+001	1.23619078e+001	-4.82250020e+000	7.02088832e-002	2.73891667e-002
3.89439990e+003	1.32692604e+001	7.53621505e-002	-2.17507496e+001	1.23245515e+001	-4.91718437e+000	6.99967200e-002	2.79269211e-002
3.80366748e+003	1.33130703e+001	7.51141531e-002	-2.21902504e+001	1.23270360e+001	-5.02812343e+000	6.95508132e-002	2.83693562e-002
3.71502173e+003	1.34897804e+001	7.41301910e-002	-2.26297607e+001	1.24512087e+001	-5.19052766e+000	6.84229433e-002	2.85234300e-002
3.62846216e+003	1.34453802e+001	7.43749886e-002	-2.31131992e+001	1.23661342e+001	-5.27797063e+000	6.84049894e-002	2.91958278e-002
3.54392969e+003	1.34897804e+001	7.41301910e-002	-2.35527000e+001	1.23659862e+001	-5.39041376e+000	6.79546214e-002	2.96218611e-002
