Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:37:38
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	1.26041901e+002	7.93386957e-003	-6.11102200e+000	1.25325665e+002	-1.34178347e+001	7.88878523e-003	8.44602864e-004
3.50667900e+006	1.28981995e+002	7.75302012e-003	-5.58165598e+000	1.28370438e+002	-1.25453382e+001	7.71625989e-003	7.54091759e-004
3.07420000e+006	1.31990799e+002	7.57628568e-003	-5.06688118e+000	1.31475016e+002	-1.16572344e+001	7.54667970e-003	6.69126475e-004
2.69505900e+006	1.33741394e+002	7.47711662e-003	-4.70121479e+000	1.33291441e+002	-1.09613964e+001	7.45196098e-003	6.12821782e-004
2.36267700e+006	1.35069702e+002	7.40358485e-003	-4.39941883e+000	1.34671723e+002	-1.03610503e+001	7.38177041e-003	5.67920958e-004
2.07128800e+006	1.36411102e+002	7.33078161e-003	-4.20796585e+000	1.36043377e+002	-1.00094175e+001	7.31101991e-003	5.37909687e-004
1.81583600e+006	1.36861206e+002	7.30667242e-003	-4.12921476e+000	1.36505941e+002	-9.85483127e+000	7.28770574e-003	5.26124429e-004
1.59188900e+006	1.37312805e+002	7.28264198e-003	-3.90165401e+000	1.36994557e+002	-9.34332510e+000	7.26576311e-003	4.95540758e-004
1.39556100e+006	1.37765793e+002	7.25869593e-003	-3.79091501e+000	1.37464356e+002	-9.10847979e+000	7.24281365e-003	4.79913655e-004
1.22344600e+006	1.37765793e+002	7.25869593e-003	-3.57903194e+000	1.37497100e+002	-8.60006762e+000	7.24453886e-003	4.53126096e-004
1.07255900e+006	1.38676498e+002	7.21102719e-003	-3.35546803e+000	1.38438754e+002	-8.11680401e+000	7.19866475e-003	4.22064986e-004
9.40280313e+005	1.38676498e+002	7.21102719e-003	-3.20951509e+000	1.38458982e+002	-7.76412480e+000	7.19971655e-003	4.03726051e-004
8.24315375e+005	1.39134003e+002	7.18731569e-003	-3.01057506e+000	1.38941978e+002	-7.30735566e+000	7.17739617e-003	3.77479774e-004
7.22652563e+005	1.39134003e+002	7.18731569e-003	-2.84763598e+000	1.38962197e+002	-6.91220021e+000	7.17844063e-003	3.57067029e-004
6.33527750e+005	1.39134003e+002	7.18731569e-003	-2.76561093e+000	1.38971950e+002	-6.71325391e+000	7.17894446e-003	3.46789959e-004
5.55394813e+005	1.40053696e+002	7.14011862e-003	-2.54562402e+000	1.39915487e+002	-6.22047157e+000	7.13307254e-003	3.17127689e-004
4.86897906e+005	1.40515793e+002	7.11663778e-003	-2.49604201e+000	1.40382476e+002	-6.11951521e+000	7.10988574e-003	3.09932231e-004
4.26848781e+005	1.40515793e+002	7.11663778e-003	-2.26596308e+000	1.40405918e+002	-5.55574260e+000	7.11107299e-003	2.81379103e-004
3.74205469e+005	1.40515793e+002	7.11663778e-003	-2.20752692e+000	1.40411511e+002	-5.41253928e+000	7.11135627e-003	2.74126351e-004
3.28054688e+005	1.40515793e+002	7.11663778e-003	-2.18940711e+000	1.40413216e+002	-5.36813381e+000	7.11144261e-003	2.71877368e-004
2.87595656e+005	1.40979401e+002	7.09323487e-003	-2.16810489e+000	1.40878478e+002	-5.33346766e+000	7.08815704e-003	2.68347990e-004
2.52126438e+005	1.41444595e+002	7.06990605e-003	-2.14401197e+000	1.41345577e+002	-5.29163125e+000	7.06495677e-003	2.64494629e-004
2.21031688e+005	1.42379593e+002	7.02347843e-003	-2.11747193e+000	1.42282372e+002	-5.26070455e+000	7.01868261e-003	2.59506606e-004
1.93771844e+005	1.42379593e+002	7.02347843e-003	-2.08878589e+000	1.42284988e+002	-5.18946795e+000	7.01881166e-003	2.55992558e-004
1.69873984e+005	1.42379593e+002	7.02347843e-003	-2.10216403e+000	1.42283773e+002	-5.22269031e+000	7.01875170e-003	2.57631392e-004
1.48923375e+005	1.42849304e+002	7.00038412e-003	-2.11389208e+000	1.42752092e+002	-5.26914048e+000	6.99562021e-003	2.58216220e-004
1.30556680e+005	1.42849304e+002	7.00038412e-003	-2.16811895e+000	1.42747041e+002	-5.40424403e+000	6.99537269e-003	2.64837020e-004
1.14455078e+005	1.43320694e+002	6.97735946e-003	-2.30896902e+000	1.43204332e+002	-5.77413348e+000	6.97169455e-003	2.81105287e-004
1.00339266e+005	1.43793594e+002	6.95441271e-003	-2.40476203e+000	1.43666962e+002	-6.03339139e+000	6.94828828e-003	2.91798073e-004
8.79644844e+004	1.44268005e+002	6.93154381e-003	-2.49958110e+000	1.44130740e+002	-6.29182824e+000	6.92494873e-003	3.02299065e-004
7.71158203e+004	1.44744003e+002	6.90874908e-003	-2.54959989e+000	1.44600719e+002	-6.43882529e+000	6.90191002e-003	3.07330371e-004
6.76051328e+004	1.44744003e+002	6.90874908e-003	-2.64281511e+000	1.44590053e+002	-6.67406940e+000	6.90140089e-003	3.18558764e-004
5.92673477e+004	1.45700806e+002	6.86338003e-003	-2.69142795e+000	1.45540085e+002	-6.84167356e+000	6.85580911e-003	3.22283775e-004
5.19579023e+004	1.45700806e+002	6.86338003e-003	-2.78341103e+000	1.45528914e+002	-7.07531580e+000	6.85528288e-003	3.33289723e-004
