Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : C:\Documents and Settings\henry\Escritorio\T38_2x2.gzd
Points       : 99
Pen legend   : 17:17:47
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	6.56527710e+001	1.52316496e-002	1.23309195e+000	6.56375672e+001	1.41283799e+000	1.52281222e-002	-3.27782862e-004
3.50667900e+006	6.52216568e+001	1.53323305e-002	9.23452675e-001	6.52131858e+001	1.05115083e+000	1.53303392e-002	-2.47104914e-004
3.07420000e+006	6.50071564e+001	1.53829218e-002	6.72349989e-001	6.50026806e+001	7.62823338e-001	1.53818626e-002	-1.80510153e-004
2.69505900e+006	6.50071564e+001	1.53829218e-002	5.70355773e-001	6.50039355e+001	6.47108651e-001	1.53821596e-002	-1.53128091e-004
2.36267700e+006	6.52216568e+001	1.53323305e-002	5.32231212e-001	6.52188429e+001	6.05847455e-001	1.53316690e-002	-1.42422838e-004
2.07128800e+006	6.52216568e+001	1.53323305e-002	4.72614586e-001	6.52194379e+001	5.37986516e-001	1.53318089e-002	-1.26470064e-004
1.81583600e+006	6.54368591e+001	1.52819071e-002	4.81753796e-001	6.54345460e+001	5.50199057e-001	1.52813669e-002	-1.28491663e-004
1.59188900e+006	6.54368591e+001	1.52819071e-002	3.42083603e-001	6.54356928e+001	3.90687477e-001	1.52816347e-002	-9.12398578e-005
1.39556100e+006	6.54368591e+001	1.52819071e-002	3.19235086e-001	6.54358434e+001	3.64592881e-001	1.52816699e-002	-8.51458122e-005
1.22344600e+006	6.54368591e+001	1.52819071e-002	3.27078611e-001	6.54357929e+001	3.73550738e-001	1.52816581e-002	-8.72378005e-005
1.07255900e+006	6.56527710e+001	1.52316496e-002	1.47460297e-001	6.56525536e+001	1.68968229e-001	1.52315991e-002	-3.92011611e-005
9.40280313e+005	6.56527710e+001	1.52316496e-002	1.50678004e-003	6.56527710e+001	1.72655448e-003	1.52316495e-002	-4.00566075e-007
8.24315375e+005	6.56527710e+001	1.52316496e-002	1.09542102e-001	6.56526510e+001	1.25519509e-001	1.52316217e-002	-2.91209213e-005
7.22652563e+005	6.58694000e+001	1.51815562e-002	1.84590295e-001	6.58690582e+001	2.12211633e-001	1.51814774e-002	-4.89104628e-005
6.33527750e+005	6.56527710e+001	1.52316496e-002	1.78725302e-001	6.56524516e+001	2.04793310e-001	1.52315754e-002	-4.75126925e-005
5.55394813e+005	6.58694000e+001	1.51815562e-002	1.35040507e-001	6.58692171e+001	1.55247542e-001	1.51815141e-002	-3.57813990e-005
4.86897906e+005	6.60867386e+001	1.51316288e-002	9.67314318e-002	6.60866444e+001	1.11572997e-001	1.51316073e-002	-2.55464441e-005
4.26848781e+005	6.60867386e+001	1.51316288e-002	6.31389990e-002	6.60866985e+001	7.28264754e-002	1.51316197e-002	-1.66748007e-005
3.74205469e+005	6.60867386e+001	1.51316288e-002	-1.02612199e-002	6.60867375e+001	-1.18356109e-002	1.51316286e-002	2.70995476e-006
3.28054688e+005	6.60867386e+001	1.51316288e-002	-8.00323933e-002	6.60866741e+001	-9.23118279e-002	1.51316141e-002	2.11362877e-005
2.87595656e+005	6.60867386e+001	1.51316288e-002	-1.90566197e-001	6.60863731e+001	-2.19804588e-001	1.51315452e-002	5.03278195e-005
2.52126438e+005	6.63047867e+001	1.50818674e-002	-2.54363805e-001	6.63041333e+001	-2.94358198e-001	1.50817188e-002	6.69555176e-005
2.21031688e+005	6.63047867e+001	1.50818674e-002	-2.71768808e-001	6.63040408e+001	-3.14499697e-001	1.50816977e-002	7.15369578e-005
1.93771844e+005	6.65235672e+001	1.50322666e-002	-3.30973297e-001	6.65224573e+001	-3.84276157e-001	1.50320158e-002	8.68345143e-005
1.69873984e+005	6.65235672e+001	1.50322666e-002	-3.44351113e-001	6.65223658e+001	-3.99808270e-001	1.50319952e-002	9.03442911e-005
1.48923375e+005	6.65235672e+001	1.50322666e-002	-3.56079310e-001	6.65222825e+001	-4.13425101e-001	1.50319763e-002	9.34212733e-005
1.30556680e+005	6.65235672e+001	1.50322666e-002	-4.54251885e-001	6.65214765e+001	-5.27406024e-001	1.50317942e-002	1.19177433e-004
1.14455078e+005	6.65235672e+001	1.50322666e-002	-5.95102012e-001	6.65199790e+001	-6.90933909e-001	1.50314558e-002	1.56129672e-004
1.00339266e+005	6.65235672e+001	1.50322666e-002	-6.46949828e-001	6.65193265e+001	-7.51128551e-001	1.50313084e-002	1.69731798e-004
8.79644844e+004	6.67430573e+001	1.49828318e-002	-6.97822988e-001	6.67381071e+001	-8.12864204e-001	1.49817206e-002	1.82476023e-004
7.71158203e+004	6.69632874e+001	1.49335560e-002	-7.03896582e-001	6.69582341e+001	-8.22644248e-001	1.49324290e-002	1.83458794e-004
6.76051328e+004	6.69632874e+001	1.49335560e-002	-7.53166497e-001	6.69575019e+001	-8.80222810e-001	1.49322658e-002	1.96299452e-004
5.92673477e+004	6.71842270e+001	1.48844460e-002	-7.57834375e-001	6.71783503e+001	-8.88600043e-001	1.48831441e-002	1.96866437e-004
5.19579023e+004	6.71842270e+001	1.48844460e-002	-8.05871904e-001	6.71775817e+001	-9.44922929e-001	1.48829738e-002	2.09344588e-004
4.55499414e+004	6.71842270e+001	1.48844460e-002	-8.97350073e-001	6.71759874e+001	-1.05217709e+000	1.48826206e-002	2.33106396e-004
3.99322813e+004	6.71842270e+001	1.48844460e-002	-9.88385797e-001	6.71742308e+001	-1.15890983e+000	1.48822314e-002	2.56752688e-004
3.50073945e+004	6.74059067e+001	1.48354951e-002	-1.07903397e+000	6.73939536e+001	-1.26935988e+000	1.48328643e-002	2.79375848e-004
3.06899727e+004	6.76283188e+001	1.47867050e-002	-1.08145106e+000	6.76162725e+001	-1.27640072e+000	1.47840711e-002	2.79080736e-004
2.69049648e+004	6.76283188e+001	1.47867050e-002	-1.12751496e+000	6.76152244e+001	-1.33076154e+000	1.47838420e-002	2.90966545e-004
2.35867344e+004	6.76283188e+001	1.47867050e-002	-1.17331803e+000	6.76141390e+001	-1.38481369e+000	1.47836046e-002	3.02784867e-004
2.06778105e+004	6.78514633e+001	1.47380757e-002	-1.21889198e+000	6.78361101e+001	-1.44334132e+000	1.47347408e-002	3.13509431e-004
1.81275859e+004	6.78514633e+001	1.47380757e-002	-1.39610100e+000	6.78313216e+001	-1.65314309e+000	1.47337007e-002	3.59080656e-004
1.58919443e+004	6.78514633e+001	1.47380757e-002	-1.44129801e+000	6.78299965e+001	-1.70665041e+000	1.47334128e-002	3.70703026e-004
