caravana	rcs	dia	etiqueta cuartos
03828	0661	14	1  4
12229	0823	14	1  4
13214	0376	14	-1 4
13322	0139	14	-1 4
14024	0094	14	-1 4
14504	0017	14	-1 4
15090	0052	14	-1 4
15100	0082	14	-1 4
15139	0062	14	-1 4
15208	0045	14	-1 4
15236	0928	14	1  2
15289	0072	14	-1 4
15335	0440	14	1  4
03005	0821	17	1  4
10399	0246	17	-1 4
12044	0283	17	-1 4
12228	0273	17	-1 4
12356	0385	17	-1 3
13122	0258	17	-1 3
13283	0766	17	1  4
14251	0300	17	-1 4
14289	0105	17	-1 3
14308	0099	17	-1 4
14312	0768	17	1  4
14364	0211	17	-1 4
14373	0144	17	-1 4
15022	0107	17	-1 4
15023	0040	17	-1 4
15167	0236	17	-1 4
15214	0134	17	-1 4
11249	2867	18	1  4
13248	0257	18	-1 4
14035	0292	18	-1 4
14142	1801	18	1  4
14156	0067	18	-1 4
14308	0099	18	-1 4
14383	0069	18	-1 4
15060	0048	18	-1 4
15214	0134	18	-1 4
15259	0059	18	-1 4
15293	2320	18	1  4
10095	0500	19	1  4
10263	3735	19	1  3 
13003	0193	19	-1 4
13227	0309	19	-1 4
14099	0467	19	1  3
15062	3399	19	1  4
15354	0097	19	-1 3
11339	0441	20	1  4
12100	0679	20	1  4
12267	1378	20	1  4
13154	0156	20	-1 4
14245	0297	20	-1 4
14383	0069	20	-1 4
14435	1704	20	1  4
15007	0438	20	1  4
15064	0241	20	-1 4
15071	0543	20	1  3
15097	0080	20	-1 4
15121	1217	20	1  3
15140	0062	20	-1 4
15225	0147	20	-1 4
15331	0471	20	1  4
15371	0076	20	-1 4
