#caravana	cuartos	grasa	proteina	nroPartos	etiqueta	rcs	dia
3005	4	4.21	3.76	6	1	821	17
3828	4	2.97	3.3	4	1	661	14
10095	4	4.29	4.04	4	1	500	19
10263	3	4	4.04	5	1	3735	19
10399	4	4.63	4	3	-1	246	17
11249	4	4.84	4.66	3	1	2867	18
11339	4	3.1	3.44	4	1	441	20
12044	4	4.96	4.44	2	-1	283	17
12100	4	6.73	5.2	3	1	679	20
12228	4	3.78	3.95	3	-1	273	17
12229	4	4.56	4.38	1	1	823	14
12267	4	4.24	4.15	2	1	1378	20
12356	3	3.7	3.74	4	-1	385	17
13003	4	4.81	4.43	2	-1	193	19
#
13122	3	3.56	3.87	2	-1	258	17
13154	4	4.57	3.32	2	-1	156	20
#
13214	4	3.84	3.27	2	-1	376	14
13227	4	4.16	3.68	2	-1	309	19
13248	4	3.8	3.38	2	-1	257	18
13283	4	5.18	4.26	2	1	766	17
13322	4	4.51	3.79	2	-1	139	14
14024	4	4.88	4.59	1	-1	94	14
14035	4	4.42	3.79	1	-1	292	18
14099	3	5.56	4.42	1	1	467	19
14142	4	3.41	3.49	2	1	1801	18
14156	4	5.08	3.7	1	-1	67	18
14245	4	5.3	4.71	1	-1	297	20
14251	4	4.54	4.34	1	-1	300	17
14289	3	4.06	3.65	1	-1	105	17
14308	4	3.64	3.73	1	-1	99	17
14312	4	3.35	3.15	1	1	768	17
14364	4	4.34	4.24	1	-1	211	17
#
14373	4	3.55	3.72	1	-1	144	17
14383	4	3.55	3.54	1	-1	69	18
14435	4	3.89	4.4	1	1	1704	20
#
14504	4	3.21	3.47	1	-1	17	14
15007	4	2.91	3.32	1	1	438	20
15022	4	6.03	4.66	1	-1	107	17
15023	4	3.18	3.43	1	-1	40	17
15060	4	3.56	3.42	1	-1	48	18
15062	4	3.16	3.57	1	1	3399	19
15064	4	6.25	4.89	1	-1	241	20
15071	3	3.93	3.36	1	1	543	20
15090	4	3.93	3.62	1	-1	52	14
15097	4	3.99	3.72	1	-1	80	20
15100	4	3.69	3.11	1	-1	82	14
#
15121	3	3.92	3.68	1	1	1217	20
#
15139	4	3.84	3.59	1	-1	62	14
15140	4	3.58	3.27	1	-1	62	20
15167	4	4.02	3.61	1	-1	236	17

15208	4	3.97	3.73	1	-1	45	14
15214	4	4.78	3.4	1	-1	134	17
15225	4	4.48	3.27	1	-1	147	20
15236	2	4.93	3.68	1	1	928	14
15259	4	3.57	3.2	1	-1	59	18

15289	4	3.97	3.52	1	-1	72	14
15293	4	3.56	3.51	1	1	2320	18
15331	4	4.3	3.39	1	1	471	20
15335	4	3.85	3.62	1	1	440	14
15354	3	3.81	3.93	1	-1	97	19
15371	4	3.32	3.56	1	-1	76	20
15504	4	0		0		0	1	527 4
15121	3	0		0		0	1	13617	4
14467	4	0		0		0	-1	158		4
14361	4	0		0		0	-1	92		4
13223	4	0		0		0	1	822		4
15289	4	0		0		0	-1	82		4
15257	4	0		0		0	-1	73		4
15222	4	0		0		0	-1	123		4
15205	4	0		0		0	1	1164	4
15154	4	0		0		0	-1	315		4
15139	4	0		0		0	-1	40		4
15131	4	0		0		0	-1	55		4
15109	4	0		0		0	-1	255		4
14183	4	0		0		0	-1	261		4
14076	4	0		0		0	-1	75		4
15208	4	0		0		0	-1	60		4
15200	4	0		0		0	1	1155	4
15191	4	0		0		0	-1	59		4
13214	4	0		0		0	1	857		4
13187	4	0		0		0	-1	378		4
13080	4	0		0		0	1	480		4
15281	4	0		0		0	-1	102		4
14463	4	0		0		0	-1	135		4
14402	4	0		0		0	-1	251		4
14373	4	0		0		0	-1	83		4
14371	3	0		0		0	-1	81		4
14245	3	0		0		0	-1	261		4
13314	3	0		0		0	1	1161	4
10122	4	0		0		0	1	421		4
11254	4	0		0		0	1	1136	4
11181	4	0		0		0	-1	398		4
15107	4	0		0		0	-1	89		4
14472	4	0		0		0	-1	135		4
14455	4	0		0		0	-1	61		4
14324	3	0		0		0	1	1470	4
13261	4	0		0		0	-1	96		4
13122	3	0		0		0	-1	249		4
13098	4	0		0		0	1	876		4
15137	4	0		0		0	-1	36		4
15088	4	0		0		0	-1	59		4
14364	4	0		0		0	-1	104		4
14015	4	0		0		0	-1	154		4
12199	3	0		0		0	-1	314		4



		
