# C1  C2   C3    C4    T
2.12 2.09 2.10 2.08 0.00
2.12 2.10 2.09 2.09 0.00
2.12 2.14 2.13 2.10 0.00
2.11 2.11 2.11 2.11 0.00
2.09 2.13 2.13 2.11 0.00
2.11 2.09 2.14 2.08 0.00
2.12 2.13 2.13 2.09 0.00
2.07 2.06 2.04 2.08 0.00
2.12 2.09 2.08 2.05 0.00
2.05 2.06 2.06 2.11 0.00
2.06 2.02 2.05 2.06 0.00
2.10 2.08 2.04 2.07 0.00
2.10 2.14 2.16 2.10 0.00
2.09 2.14 2.09 2.13 0.00
2.13 2.13 2.10 2.10 0.00
2.09 2.11 2.11 2.13 0.00
2.09 2.10 2.13 2.10 0.00
2.12 2.12 2.08 2.09 0.00
2.09 2.09 2.08 2.13 0.00
2.11 2.09 2.08 2.13 0.00
2.09 2.14 2.12 2.14 0.00
2.13 2.10 2.10 2.14 0.00
2.10 2.09 2.13 2.16 0.00
2.09 2.11 2.11 2.16 0.00
2.11 2.13 2.10 2.12 0.00
2.13 2.12 2.15 2.09 0.00
2.11 2.11 2.12 2.11 0.00
2.12 2.10 2.09 2.11 0.00
2.09 2.11 2.09 2.13 0.00
2.11 2.13 2.10 2.15 0.00
2.09 2.16 2.13 2.13 0.00
2.10 2.07 2.11 2.12 0.00
2.13 2.11 2.13 2.13 0.00
2.09 2.09 2.08 2.09 0.00
2.13 2.12 2.15 2.13 0.00
2.14 2.11 2.09 2.09 0.00
2.10 2.10 2.13 2.10 0.00
2.09 2.08 2.09 2.13 0.00
2.13 2.10 2.12 2.14 0.00
2.11 2.15 0.02 0.01 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
