# C1    C2   C3     C4      T
2.00 11.00 305.00 1023.00 28.00
7.00 16.00 623.00 1023.00 30.00
10.00 22.00 974.00 1023.00 40.00
9.00 21.00 995.00 1023.00 44.00
23.00 22.00 925.00 1023.00 39.00
26.00 22.00 905.00 1023.00 40.00
25.00 32.00 890.00 1023.00 38.00
30.00 26.00 897.00 1023.00 41.00
26.00 28.00 866.00 1023.00 37.00
22.00 23.00 889.00 1023.00 43.00
28.00 30.00 901.00 1023.00 38.00
32.00 28.00 975.00 1023.00 44.00
31.00 26.00 966.00 1023.00 41.00
33.00 25.00 971.00 1023.00 43.00
30.00 32.00 1000.00 1023.00 42.00
40.00 42.00 960.00 1023.00 41.00
42.00 26.00 987.00 1023.00 42.00
24.00 46.00 983.00 1023.00 41.00
45.00 31.00 1009.00 1023.00 57.00
42.00 26.00 973.00 1023.00 52.00
33.00 46.00 976.00 1023.00 42.00
25.00 36.00 981.00 1023.00 47.00
28.00 30.00 976.00 1023.00 41.00
25.00 24.00 996.00 1023.00 42.00
28.00 41.00 979.00 1023.00 46.00
36.00 29.00 953.00 1023.00 42.00
27.00 25.00 975.00 1023.00 46.00
29.00 24.00 976.00 1023.00 46.00
28.00 28.00 964.00 1023.00 49.00
16.00 27.00 975.00 1023.00 55.00
29.00 14.00 975.00 1023.00 57.00
22.00 37.00 983.00 1023.00 59.00
26.00 26.00 970.00 1023.00 43.00
31.00 24.00 972.00 1023.00 46.00
24.00 24.00 996.00 1023.00 55.00
38.00 31.00 1008.00 1023.00 51.00
33.00 38.00 959.00 1023.00 41.00
3.00 3.00 914.00 1023.00 39.00
2.00 2.00 866.00 1023.00 37.00
0.00 0.00 847.00 1023.00 37.00
2.00 2.00 845.00 1023.00 36.00
