# C1    C2   C3     C4      T
1020.00 1023.00 1023.00 1023.00 0.00
1023.00 1017.00 1023.00 1007.00 0.00
1023.00 1023.00 1023.00 1014.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1022.00 1015.00 0.00
1023.00 1015.00 1023.00 1022.00 0.00
1023.00 1023.00 1021.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1016.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1014.00 1023.00 1023.00 0.00
1018.00 1011.00 1023.00 1023.00 0.00
1023.00 1022.00 1023.00 1021.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1015.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1020.00 0.00
1023.00 1023.00 1023.00 1011.00 0.00
1020.00 1023.00 1023.00 1018.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1017.00 1023.00 1012.00 0.00
1023.00 1023.00 1023.00 1018.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1022.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1021.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1015.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1020.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1017.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1022.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1020.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1023.00 0.00
1023.00 1023.00 1023.00 1019.00 0.00
1015.00 1023.00 1023.00 1013.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1014.00 0.00 0.00 0.00
0.00 1018.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1016.00 0.00 0.00 0.00
0.00 1013.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1021.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1018.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1016.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1022.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1017.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1011.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1020.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1023.00 0.00 0.00 0.00
0.00 1017.00 0.00 0.00 0.00
0.00 492.00 0.00 0.00 0.00
0.00 98.00 0.00 0.00 0.00
0.00 151.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 148.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 147.00 0.00 0.00 0.00
0.00 147.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 151.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 147.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 148.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 149.00 0.00 0.00 0.00
0.00 151.00 0.00 0.00 0.00
0.00 150.00 0.00 0.00 0.00
0.00 148.00 0.00 0.00 0.00
0.00 147.00 0.00 0.00 0.00
0.00 146.00 0.00 0.00 0.00
0.00 147.00 0.00 0.00 0.00
0.00 104.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
