# C1    C2   C3     C4      T
507.00 507.00 507.00 507.00 700.00
508.00 508.00 508.00 508.00 700.00
509.00 509.00 509.00 509.00 700.00
510.00 510.00 510.00 510.00 700.00
511.00 511.00 511.00 511.00 700.00
512.00 512.00 512.00 512.00 700.00
513.00 513.00 513.00 513.00 700.00
514.00 514.00 514.00 514.00 700.00
515.00 515.00 515.00 515.00 700.00
516.00 516.00 516.00 516.00 700.00
517.00 517.00 517.00 517.00 700.00
518.00 518.00 518.00 518.00 700.00
519.00 519.00 519.00 519.00 700.00
520.00 520.00 520.00 520.00 700.00
521.00 521.00 521.00 521.00 700.00
522.00 522.00 522.00 522.00 700.00
523.00 523.00 523.00 523.00 700.00
524.00 524.00 524.00 524.00 700.00
525.00 525.00 525.00 525.00 700.00
526.00 526.00 526.00 526.00 700.00
527.00 527.00 527.00 527.00 700.00
528.00 528.00 528.00 528.00 700.00
529.00 529.00 529.00 529.00 700.00
530.00 530.00 530.00 530.00 700.00
531.00 531.00 531.00 531.00 700.00
532.00 532.00 532.00 532.00 700.00
533.00 533.00 533.00 533.00 700.00
534.00 534.00 534.00 534.00 700.00
535.00 535.00 535.00 535.00 700.00
536.00 536.00 536.00 536.00 700.00
537.00 537.00 537.00 537.00 700.00
538.00 538.00 538.00 538.00 700.00
539.00 539.00 539.00 539.00 700.00
540.00 540.00 540.00 540.00 700.00
541.00 541.00 541.00 541.00 700.00
542.00 542.00 542.00 542.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
0.00 0.00 0.00 0.00 700.00
