# C1    C2   C3     C4      T
45.00 40.00 905.00 1023.00 771.00
44.00 43.00 891.00 1023.00 756.00
38.00 36.00 889.00 1023.00 754.00
38.00 38.00 882.00 1023.00 759.00
39.00 37.00 878.00 1023.00 753.00
39.00 37.00 877.00 1023.00 746.00
37.00 35.00 869.00 1023.00 747.00
35.00 33.00 864.00 1023.00 760.00
37.00 36.00 858.00 1023.00 745.00
35.00 32.00 855.00 1023.00 745.00
33.00 31.00 852.00 1023.00 741.00
33.00 30.00 854.00 1023.00 740.00
34.00 33.00 858.00 1023.00 739.00
33.00 31.00 847.00 1023.00 736.00
32.00 30.00 845.00 1023.00 728.00
32.00 28.00 848.00 1023.00 741.00
33.00 31.00 848.00 1023.00 734.00
32.00 29.00 844.00 1023.00 731.00
32.00 28.00 842.00 1023.00 730.00
31.00 25.00 844.00 1023.00 736.00
32.00 30.00 848.00 1023.00 729.00
32.00 28.00 837.00 1023.00 728.00
31.00 27.00 837.00 1023.00 723.00
31.00 26.00 835.00 1023.00 737.00
32.00 25.00 859.00 1023.00 751.00
32.00 28.00 856.00 1023.00 741.00
32.00 27.00 851.00 1023.00 740.00
32.00 26.00 850.00 1023.00 735.00
31.00 25.00 845.00 1023.00 730.00
31.00 24.00 843.00 1023.00 733.00
31.00 27.00 850.00 1023.00 737.00
32.00 27.00 844.00 1023.00 728.00
31.00 25.00 840.00 1023.00 729.00
31.00 23.00 841.00 1023.00 729.00
31.00 23.00 847.00 1023.00 732.00
31.00 25.00 837.00 1023.00 723.00
31.00 24.00 834.00 1023.00 721.00
31.00 23.00 832.00 1023.00 723.00
31.00 22.00 834.00 1023.00 732.00
31.00 25.00 827.00 1023.00 720.00
31.00 24.00 826.00 1023.00 714.00
31.00 23.00 829.00 1023.00 716.00
31.00 22.00 826.00 1023.00 718.00
31.00 24.00 827.00 1023.00 715.00
31.00 23.00 821.00 1023.00 717.00
31.00 22.00 820.00 1023.00 713.00
31.00 21.00 821.00 1023.00 713.00
31.00 23.00 829.00 1023.00 714.00
31.00 22.00 816.00 1023.00 711.00
30.00 22.00 815.00 1023.00 708.00
30.00 21.00 815.00 1023.00 708.00
30.00 20.00 816.00 1023.00 708.00
31.00 23.00 811.00 1023.00 706.00
30.00 22.00 811.00 1023.00 707.00
30.00 21.00 807.00 1023.00 702.00
30.00 20.00 809.00 1023.00 704.00
30.00 22.00 815.00 1023.00 700.00
30.00 21.00 806.00 1023.00 699.00
30.00 20.00 807.00 1023.00 699.00
30.00 19.00 804.00 1023.00 702.00
30.00 21.00 807.00 1023.00 699.00
30.00 21.00 801.00 1023.00 692.00
30.00 20.00 796.00 1023.00 690.00
29.00 19.00 795.00 1023.00 693.00
30.00 21.00 801.00 1023.00 693.00
30.00 21.00 792.00 1023.00 695.00
29.00 19.00 793.00 1023.00 691.00
29.00 19.00 790.00 1023.00 694.00
29.00 21.00 791.00 1023.00 690.00
29.00 20.00 789.00 1023.00 685.00
29.00 19.00 794.00 1023.00 687.00
29.00 18.00 795.00 1023.00 691.00
29.00 21.00 788.00 1023.00 685.00
29.00 20.00 781.00 1023.00 681.00
29.00 19.00 780.00 1023.00 685.00
29.00 18.00 785.00 1023.00 688.00
29.00 20.00 777.00 1023.00 681.00
29.00 19.00 778.00 1023.00 678.00
29.00 18.00 780.00 1023.00 679.00
29.00 17.00 784.00 1023.00 683.00
29.00 19.00 778.00 1023.00 674.00
28.00 19.00 776.00 1023.00 672.00
29.00 18.00 773.00 1023.00 678.00
29.00 18.00 780.00 1023.00 678.00
29.00 19.00 768.00 1023.00 670.00
28.00 19.00 770.00 1023.00 671.00
28.00 17.00 772.00 1023.00 673.00
29.00 20.00 771.00 1023.00 670.00
28.00 18.00 765.00 1023.00 669.00
28.00 18.00 769.00 1023.00 666.00
28.00 18.00 771.00 1023.00 670.00
28.00 18.00 764.00 1023.00 664.00
28.00 18.00 759.00 1023.00 664.00
28.00 17.00 760.00 1023.00 672.00
28.00 19.00 759.00 1023.00 669.00
28.00 18.00 757.00 1023.00 662.00
28.00 17.00 755.00 1023.00 664.00
28.00 18.00 758.00 1023.00 666.00
28.00 19.00 752.00 1023.00 660.00
28.00 17.00 756.00 1023.00 661.00
28.00 16.00 754.00 1023.00 669.00
28.00 17.00 750.00 1023.00 661.00
28.00 16.00 755.00 1023.00 662.00
28.00 16.00 753.00 1023.00 662.00
28.00 18.00 750.00 1023.00 660.00
28.00 16.00 749.00 1023.00 659.00
28.00 16.00 748.00 1023.00 664.00
28.00 17.00 751.00 1023.00 660.00
28.00 17.00 742.00 1023.00 654.00
