# C1    C2   C3     C4      T
18.00 17.00 47.00 1023.00 53.00
18.00 18.00 45.00 1023.00 53.00
16.00 16.00 43.00 1023.00 52.00
16.00 16.00 43.00 1023.00 53.00
15.00 18.00 46.00 1023.00 53.00
16.00 18.00 45.00 1023.00 53.00
16.00 17.00 44.00 1023.00 53.00
15.00 16.00 42.00 1023.00 53.00
16.00 18.00 46.00 1023.00 53.00
17.00 17.00 44.00 1023.00 53.00
17.00 40.00 54.00 1023.00 45.00
16.00 10.00 16.00 1023.00 22.00
15.00 13.00 18.00 1023.00 21.00
11.00 9.00 11.00 1023.00 16.00
11.00 6.00 12.00 1023.00 17.00
13.00 9.00 21.00 1023.00 23.00
22.00 16.00 25.00 1023.00 22.00
11.00 6.00 13.00 1023.00 22.00
10.00 5.00 13.00 1023.00 23.00
12.00 6.00 16.00 1023.00 23.00
13.00 6.00 15.00 1023.00 24.00
12.00 6.00 15.00 1023.00 24.00
11.00 6.00 18.00 1023.00 24.00
13.00 6.00 18.00 1023.00 24.00
12.00 6.00 17.00 1023.00 25.00
12.00 5.00 17.00 1023.00 25.00
12.00 7.00 20.00 1023.00 25.00
14.00 6.00 19.00 1023.00 26.00
13.00 6.00 19.00 1023.00 26.00
12.00 6.00 21.00 1023.00 26.00
15.00 7.00 23.00 1023.00 27.00
13.00 7.00 22.00 1023.00 27.00
14.00 6.00 21.00 1023.00 27.00
12.00 7.00 24.00 1023.00 28.00
14.00 8.00 23.00 1023.00 28.00
14.00 7.00 22.00 1023.00 29.00
13.00 7.00 22.00 1023.00 29.00
16.00 8.00 25.00 1023.00 30.00
15.00 8.00 24.00 1023.00 30.00
14.00 7.00 24.00 1023.00 31.00
14.00 9.00 26.00 1023.00 31.00
15.00 9.00 26.00 1023.00 32.00
15.00 8.00 25.00 1023.00 33.00
15.00 27.00 46.00 1023.00 32.00
15.00 8.00 12.00 1023.00 18.00
17.00 12.00 13.00 1023.00 14.00
11.00 5.00 8.00 1023.00 12.00
16.00 14.00 15.00 1023.00 19.00
10.00 6.00 10.00 1023.00 13.00
8.00 6.00 6.00 1023.00 16.00
6.00 5.00 5.00 1023.00 14.00
12.00 14.00 15.00 1023.00 20.00
15.00 9.00 18.00 1023.00 19.00
4.00 3.00 6.00 1023.00 20.00
4.00 3.00 6.00 1023.00 21.00
5.00 4.00 8.00 1023.00 21.00
5.00 4.00 8.00 1023.00 22.00
5.00 4.00 8.00 1023.00 22.00
5.00 3.00 7.00 1023.00 22.00
5.00 4.00 9.00 1023.00 23.00
6.00 4.00 9.00 1023.00 23.00
5.00 4.00 8.00 1023.00 23.00
5.00 3.00 8.00 1023.00 24.00
6.00 5.00 10.00 1023.00 24.00
7.00 5.00 10.00 1023.00 25.00
7.00 4.00 9.00 1023.00 26.00
7.00 5.00 10.00 1023.00 26.00
8.00 6.00 11.00 1023.00 26.00
8.00 5.00 10.00 1023.00 27.00
8.00 5.00 11.00 1023.00 29.00
8.00 8.00 51.00 1023.00 32.00
13.00 11.00 146.00 1023.00 33.00
12.00 9.00 224.00 1023.00 33.00
11.00 9.00 211.00 1023.00 33.00
13.00 10.00 202.00 1023.00 33.00
12.00 10.00 182.00 1023.00 32.00
12.00 10.00 175.00 1023.00 33.00
12.00 10.00 199.00 1023.00 35.00
13.00 11.00 209.00 1023.00 35.00
15.00 13.00 191.00 1023.00 39.00
14.00 12.00 186.00 1023.00 36.00
13.00 11.00 178.00 1023.00 36.00
15.00 13.00 182.00 1023.00 37.00
15.00 12.00 178.00 1023.00 37.00
15.00 12.00 171.00 1023.00 37.00
14.00 12.00 173.00 1023.00 37.00
17.00 15.00 174.00 1023.00 37.00
16.00 14.00 168.00 1023.00 37.00
15.00 13.00 172.00 1023.00 38.00
16.00 14.00 192.00 1023.00 38.00
19.00 15.00 184.00 1023.00 38.00
18.00 15.00 180.00 1023.00 40.00
17.00 15.00 199.00 1023.00 40.00
17.00 16.00 207.00 1023.00 40.00
20.00 16.00 191.00 1023.00 41.00
20.00 15.00 182.00 1023.00 41.00
18.00 16.00 191.00 1023.00 41.00
19.00 17.00 186.00 1023.00 43.00
21.00 17.00 180.00 1023.00 44.00
22.00 18.00 182.00 1023.00 45.00
19.00 17.00 197.00 1023.00 42.00
22.00 20.00 211.00 1023.00 43.00
21.00 18.00 175.00 1023.00 43.00
21.00 18.00 158.00 1023.00 43.00
21.00 16.00 154.00 1023.00 43.00
19.00 17.00 165.00 1023.00 43.00
21.00 18.00 158.00 1023.00 43.00
20.00 17.00 152.00 1023.00 44.00
19.00 17.00 153.00 1023.00 44.00
23.00 19.00 161.00 1023.00 44.00
22.00 21.00 156.00 1023.00 45.00
24.00 20.00 152.00 1023.00 45.00
20.00 18.00 174.00 1023.00 46.00
31.00 25.00 373.00 1023.00 84.00
37.00 32.00 659.00 1023.00 77.00
35.00 31.00 765.00 1023.00 73.00
28.00 30.00 819.00 1023.00 79.00
34.00 36.00 879.00 1023.00 59.00
39.00 23.00 895.00 1023.00 55.00
23.00 20.00 924.00 1023.00 52.00
26.00 32.00 877.00 1023.00 53.00
29.00 21.00 920.00 1023.00 57.00
23.00 22.00 913.00 1023.00 66.00
26.00 23.00 928.00 1023.00 60.00
27.00 25.00 924.00 1023.00 57.00
29.00 25.00 898.00 1023.00 57.00
26.00 23.00 900.00 1023.00 56.00
24.00 27.00 917.00 1023.00 77.00
43.00 31.00 918.00 1023.00 70.00
34.00 27.00 939.00 1023.00 73.00
33.00 29.00 949.00 1023.00 81.00
34.00 40.00 1023.00 1023.00 63.00
29.00 26.00 955.00 1023.00 57.00
27.00 23.00 864.00 1023.00 55.00
25.00 20.00 808.00 1023.00 55.00
23.00 23.00 793.00 1023.00 54.00
28.00 22.00 781.00 1023.00 54.00
26.00 21.00 773.00 1023.00 54.00
26.00 23.00 804.00 1023.00 56.00
23.00 21.00 799.00 1023.00 58.00
28.00 22.00 760.00 1023.00 56.00
25.00 22.00 726.00 1023.00 56.00
27.00 20.00 697.00 1023.00 59.00
23.00 21.00 638.00 1023.00 56.00
31.00 25.00 589.00 1023.00 56.00
25.00 25.00 554.00 1023.00 57.00
30.00 21.00 532.00 1023.00 57.00
25.00 23.00 511.00 1023.00 57.00
24.00 21.00 504.00 1023.00 59.00
26.00 20.00 507.00 1023.00 59.00
26.00 22.00 502.00 1023.00 59.00
26.00 20.00 499.00 1023.00 59.00
24.00 27.00 494.00 1023.00 58.00
27.00 21.00 481.00 1023.00 59.00
25.00 22.00 487.00 1023.00 58.00
24.00 21.00 490.00 1023.00 59.00
29.00 21.00 479.00 1023.00 58.00
26.00 24.00 481.00 1023.00 59.00
25.00 24.00 475.00 1023.00 59.00
23.00 23.00 471.00 1023.00 59.00
26.00 21.00 478.00 1023.00 59.00
26.00 20.00 471.00 1023.00 59.00
26.00 22.00 459.00 1023.00 60.00
23.00 21.00 469.00 1023.00 61.00
23.00 19.00 460.00 1023.00 60.00
25.00 23.00 430.00 1023.00 59.00
26.00 21.00 380.00 1023.00 59.00
25.00 22.00 357.00 1023.00 58.00
27.00 26.00 375.00 1023.00 60.00
25.00 21.00 538.00 1023.00 72.00
27.00 29.00 796.00 1023.00 62.00
25.00 24.00 900.00 1023.00 67.00
31.00 24.00 950.00 1023.00 73.00
29.00 29.00 950.00 1023.00 66.00
32.00 28.00 911.00 1023.00 63.00
46.00 52.00 1023.00 1023.00 109.00
49.00 46.00 1023.00 1023.00 101.00
59.00 38.00 1023.00 1023.00 99.00
51.00 40.00 1023.00 1023.00 105.00
43.00 40.00 1023.00 1023.00 101.00
44.00 37.00 1023.00 1023.00 84.00
31.00 25.00 1023.00 1023.00 68.00
27.00 26.00 992.00 1023.00 66.00
29.00 23.00 957.00 1023.00 65.00
28.00 23.00 947.00 1023.00 65.00
25.00 27.00 941.00 1023.00 66.00
26.00 29.00 938.00 1023.00 66.00
29.00 24.00 936.00 1023.00 67.00
31.00 24.00 886.00 1023.00 68.00
28.00 26.00 779.00 1023.00 68.00
38.00 28.00 609.00 1023.00 67.00
32.00 29.00 497.00 1023.00 67.00
30.00 27.00 410.00 1023.00 67.00
30.00 26.00 383.00 1023.00 66.00
29.00 26.00 369.00 1023.00 67.00
30.00 29.00 338.00 1023.00 67.00
29.00 26.00 313.00 1023.00 70.00
28.00 26.00 298.00 1023.00 68.00
28.00 26.00 274.00 1023.00 68.00
27.00 25.00 258.00 1023.00 68.00
28.00 24.00 238.00 1023.00 72.00
29.00 28.00 240.00 1023.00 72.00
27.00 24.00 226.00 1023.00 69.00
30.00 25.00 219.00 1023.00 73.00
31.00 26.00 227.00 1023.00 69.00
30.00 26.00 215.00 1023.00 68.00
30.00 26.00 211.00 1023.00 69.00
30.00 27.00 198.00 1023.00 68.00
31.00 26.00 197.00 1023.00 68.00
30.00 25.00 198.00 1023.00 68.00
30.00 26.00 204.00 1023.00 69.00
29.00 25.00 196.00 1023.00 69.00
28.00 25.00 191.00 1023.00 69.00
29.00 25.00 192.00 1023.00 69.00
28.00 25.00 191.00 1023.00 69.00
27.00 26.00 194.00 1023.00 69.00
28.00 24.00 189.00 1023.00 70.00
28.00 24.00 196.00 1023.00 70.00
27.00 24.00 191.00 1023.00 70.00
27.00 23.00 191.00 1023.00 70.00
26.00 23.00 194.00 1023.00 69.00
28.00 24.00 199.00 1023.00 70.00
29.00 27.00 180.00 1023.00 69.00
31.00 27.00 175.00 1023.00 69.00
29.00 26.00 172.00 1023.00 71.00
34.00 26.00 404.00 1023.00 71.00
29.00 26.00 585.00 1023.00 76.00
29.00 27.00 738.00 1023.00 71.00
32.00 26.00 849.00 1023.00 72.00
33.00 26.00 866.00 1023.00 73.00
30.00 26.00 906.00 1023.00 77.00
33.00 26.00 951.00 1023.00 72.00
30.00 26.00 973.00 1023.00 81.00
29.00 33.00 1000.00 1023.00 72.00
28.00 35.00 1012.00 1023.00 72.00
27.00 25.00 1021.00 1023.00 72.00
31.00 26.00 1023.00 1023.00 72.00
31.00 35.00 1023.00 1023.00 72.00
33.00 27.00 1023.00 1023.00 83.00
32.00 27.00 1023.00 1023.00 72.00
33.00 33.00 1023.00 1023.00 73.00
34.00 28.00 1023.00 1023.00 73.00
31.00 27.00 1023.00 1023.00 73.00
30.00 26.00 1023.00 1023.00 85.00
34.00 26.00 992.00 1023.00 73.00
33.00 32.00 949.00 1023.00 77.00
37.00 25.00 926.00 1023.00 73.00
30.00 25.00 962.00 1023.00 80.00
31.00 31.00 979.00 1023.00 74.00
28.00 24.00 974.00 1023.00 74.00
29.00 26.00 958.00 1023.00 81.00
33.00 34.00 939.00 1023.00 79.00
34.00 28.00 939.00 1023.00 74.00
42.00 40.00 961.00 1023.00 91.00
43.00 42.00 966.00 1023.00 83.00
33.00 36.00 993.00 1023.00 76.00
31.00 29.00 1023.00 1023.00 74.00
34.00 34.00 1006.00 1023.00 75.00
51.00 41.00 920.00 1023.00 75.00
32.00 29.00 1006.00 1023.00 81.00
34.00 35.00 1023.00 1023.00 75.00
31.00 33.00 1023.00 1023.00 75.00
38.00 30.00 1004.00 1023.00 75.00
31.00 29.00 980.00 1023.00 75.00
33.00 27.00 942.00 1023.00 75.00
30.00 29.00 929.00 1023.00 75.00
36.00 27.00 1004.00 1023.00 76.00
34.00 26.00 961.00 1023.00 76.00
28.00 25.00 1012.00 1023.00 82.00
27.00 26.00 956.00 1023.00 76.00
32.00 28.00 838.00 1023.00 75.00
34.00 29.00 816.00 1023.00 75.00
32.00 28.00 798.00 1023.00 75.00
30.00 27.00 788.00 1023.00 75.00
30.00 26.00 783.00 1023.00 75.00
30.00 32.00 776.00 1023.00 75.00
33.00 27.00 775.00 1023.00 75.00
29.00 28.00 773.00 1023.00 75.00
29.00 25.00 772.00 1023.00 76.00
30.00 30.00 767.00 1023.00 76.00
36.00 30.00 764.00 1023.00 76.00
34.00 29.00 757.00 1023.00 76.00
30.00 28.00 750.00 1023.00 76.00
33.00 27.00 744.00 1023.00 76.00
31.00 29.00 745.00 1023.00 76.00
31.00 27.00 794.00 1023.00 78.00
33.00 26.00 742.00 1023.00 87.00
33.00 27.00 654.00 1023.00 79.00
29.00 28.00 582.00 1023.00 78.00
28.00 27.00 549.00 1023.00 78.00
32.00 29.00 532.00 1023.00 78.00
34.00 29.00 517.00 1023.00 78.00
33.00 28.00 490.00 1023.00 78.00
34.00 27.00 479.00 1023.00 78.00
31.00 29.00 464.00 1023.00 78.00
31.00 31.00 447.00 1023.00 78.00
30.00 27.00 443.00 1023.00 78.00
29.00 27.00 419.00 1023.00 78.00
34.00 27.00 396.00 1023.00 78.00
29.00 27.00 416.00 1023.00 78.00
29.00 27.00 419.00 1023.00 78.00
32.00 32.00 421.00 1023.00 81.00
32.00 29.00 421.00 1023.00 79.00
33.00 29.00 420.00 1023.00 79.00
35.00 30.00 407.00 1023.00 78.00
35.00 29.00 402.00 1023.00 78.00
31.00 28.00 398.00 1023.00 78.00
30.00 30.00 394.00 1023.00 78.00
30.00 29.00 384.00 1023.00 78.00
31.00 29.00 361.00 1023.00 77.00
30.00 28.00 355.00 1023.00 77.00
31.00 28.00 347.00 1023.00 77.00
29.00 26.00 350.00 1023.00 77.00
30.00 26.00 348.00 1023.00 77.00
29.00 26.00 347.00 1023.00 77.00
30.00 26.00 344.00 1023.00 77.00
28.00 26.00 347.00 1023.00 77.00
30.00 29.00 355.00 1023.00 77.00
31.00 30.00 374.00 1023.00 77.00
34.00 29.00 368.00 1023.00 77.00
36.00 37.00 369.00 1023.00 77.00
36.00 34.00 362.00 1023.00 77.00
33.00 31.00 357.00 1023.00 76.00
33.00 31.00 352.00 1023.00 77.00
32.00 29.00 353.00 1023.00 77.00
36.00 32.00 343.00 1023.00 77.00
36.00 30.00 343.00 1023.00 77.00
34.00 29.00 341.00 1023.00 77.00
34.00 30.00 337.00 1023.00 77.00
34.00 32.00 335.00 1023.00 77.00
37.00 32.00 338.00 1023.00 77.00
33.00 28.00 563.00 1023.00 86.00
31.00 30.00 737.00 1023.00 78.00
37.00 33.00 793.00 1023.00 78.00
39.00 34.00 928.00 1023.00 83.00
41.00 41.00 1012.00 1023.00 81.00
42.00 33.00 1023.00 1023.00 79.00
42.00 45.00 1023.00 1023.00 79.00
42.00 31.00 1023.00 1023.00 88.00
39.00 30.00 1023.00 1023.00 79.00
33.00 30.00 1023.00 1023.00 79.00
36.00 29.00 931.00 1023.00 78.00
32.00 29.00 911.00 1023.00 78.00
32.00 29.00 895.00 1023.00 78.00
30.00 28.00 881.00 1023.00 79.00
