# C1    C2   C3     C4      T
477.00 20.00 0.00 0.00 1023.00
477.00 20.00 0.00 0.00 1023.00
477.00 20.00 0.00 0.00 1023.00
478.00 20.00 0.00 0.00 1023.00
478.00 21.00 0.00 0.00 1023.00
478.00 20.00 0.00 0.00 1023.00
478.00 20.00 2.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 1.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
348.00 14.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
412.00 17.00 0.00 0.00 1023.00
409.00 17.00 0.00 0.00 1023.00
412.00 17.00 0.00 0.00 1023.00
403.00 16.00 0.00 0.00 1023.00
412.00 17.00 0.00 0.00 1023.00
412.00 17.00 0.00 0.00 1023.00
412.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 16.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 16.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
414.00 17.00 0.00 0.00 1023.00
413.00 17.00 0.00 0.00 1023.00
