# C1    C2   C3     C4      T
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
702.00 32.00 0.00 0.00 1023.00
820.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
834.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
824.00 37.00 0.00 0.00 1023.00
825.00 37.00 0.00 0.00 1023.00
826.00 37.00 0.00 0.00 1023.00
828.00 38.00 0.00 0.00 1023.00
830.00 37.00 0.00 0.00 1023.00
830.00 38.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
820.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 38.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
811.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
811.00 36.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
822.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
813.00 37.00 0.00 0.00 1023.00
812.00 36.00 0.00 0.00 1023.00
813.00 36.00 0.00 0.00 1023.00
810.00 36.00 0.00 0.00 1023.00
811.00 36.00 0.00 0.00 1023.00
810.00 36.00 0.00 0.00 1023.00
809.00 36.00 0.00 0.00 1023.00
811.00 36.00 0.00 0.00 1023.00
812.00 36.00 0.00 0.00 1023.00
813.00 37.00 0.00 0.00 1023.00
813.00 36.00 0.00 0.00 1023.00
813.00 36.00 0.00 0.00 1023.00
813.00 36.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
816.00 36.00 0.00 0.00 1023.00
818.00 37.00 0.00 0.00 1023.00
819.00 37.00 0.00 0.00 1023.00
819.00 37.00 0.00 0.00 1023.00
820.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
824.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
813.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
815.00 36.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
814.00 37.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
815.00 36.00 0.00 0.00 1023.00
815.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
816.00 37.00 0.00 0.00 1023.00
817.00 36.00 0.00 0.00 1023.00
817.00 37.00 0.00 0.00 1023.00
817.00 37.00 0.00 0.00 1023.00
817.00 37.00 0.00 0.00 1023.00
817.00 37.00 0.00 0.00 1023.00
819.00 37.00 0.00 0.00 1023.00
818.00 37.00 0.00 0.00 1023.00
818.00 37.00 0.00 0.00 1023.00
818.00 37.00 0.00 0.00 1023.00
819.00 37.00 0.00 0.00 1023.00
821.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
823.00 37.00 0.00 0.00 1023.00
824.00 37.00 0.00 0.00 1023.00
