# C1    C2   C3     C4      T
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 9.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 39.00 1023.00
0.00 0.00 0.00 36.00 1023.00
0.00 0.00 0.00 36.00 1023.00
0.00 0.00 0.00 36.00 1023.00
0.00 0.00 0.00 37.00 1023.00
0.00 0.00 0.00 38.00 1023.00
0.00 0.00 0.00 39.00 1023.00
0.00 0.00 0.00 40.00 1023.00
0.00 0.00 0.00 40.00 1023.00
0.00 0.00 0.00 40.00 1023.00
0.00 0.00 0.00 40.00 1023.00
0.00 0.00 0.00 48.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 34.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 33.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 32.00 1023.00
0.00 0.00 0.00 28.00 1023.00
0.00 0.00 0.00 25.00 1023.00
0.00 0.00 0.00 38.00 1023.00
0.00 0.00 0.00 64.00 1023.00
0.00 0.00 0.00 82.00 1023.00
0.00 0.00 0.00 95.00 1023.00
0.00 0.00 0.00 102.00 1023.00
0.00 0.00 0.00 109.00 1023.00
0.00 0.00 0.00 115.00 1023.00
0.00 0.00 0.00 119.00 1023.00
0.00 0.00 0.00 121.00 1023.00
0.00 0.00 0.00 120.00 1023.00
0.00 0.00 0.00 122.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 126.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 125.00 1023.00
0.00 0.00 0.00 126.00 1023.00
0.00 0.00 0.00 126.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 122.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 122.00 1023.00
0.00 0.00 0.00 123.00 1023.00
0.00 0.00 0.00 122.00 1023.00
0.00 0.00 0.00 122.00 1023.00
0.00 0.00 0.00 120.00 1023.00
0.00 0.00 0.00 112.00 1023.00
0.00 0.00 0.00 101.00 1023.00
0.00 0.00 0.00 101.00 1023.00
0.00 0.00 0.00 124.00 1023.00
0.00 0.00 0.00 143.00 1023.00
0.00 0.00 0.00 155.00 1023.00
0.00 0.00 0.00 158.00 1023.00
0.00 0.00 0.00 157.00 1023.00
0.00 0.00 0.00 157.00 1023.00
0.00 0.00 0.00 164.00 1023.00
0.00 0.00 0.00 168.00 1023.00
0.00 0.00 0.00 171.00 1023.00
0.00 0.00 0.00 174.00 1023.00
0.00 0.00 0.00 176.00 1023.00
0.00 0.00 0.00 177.00 1023.00
0.00 0.00 0.00 179.00 1023.00
0.00 0.00 0.00 178.00 1023.00
0.00 0.00 0.00 166.00 1023.00
0.00 0.00 0.00 176.00 1023.00
0.00 0.00 0.00 179.00 1023.00
0.00 0.00 0.00 180.00 1023.00
0.00 0.00 0.00 180.00 1023.00
0.00 0.00 0.00 179.00 1023.00
0.00 0.00 0.00 178.00 1023.00
0.00 0.00 0.00 174.00 1023.00
0.00 0.00 0.00 177.00 1023.00
0.00 0.00 0.00 177.00 1023.00
0.00 0.00 0.00 179.00 1023.00
0.00 0.00 0.00 179.00 1023.00
0.00 0.00 0.00 181.00 1023.00
0.00 0.00 0.00 181.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 183.00 1023.00
0.00 0.00 0.00 182.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 185.00 1023.00
0.00 0.00 0.00 186.00 1023.00
0.00 0.00 0.00 185.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 176.00 1023.00
0.00 0.00 0.00 173.00 1023.00
0.00 0.00 0.00 163.00 1023.00
0.00 0.00 0.00 186.00 1023.00
