# C1  C2   C3    C4    T
2.08 2.09 2.02 2.06 0.00
2.00 2.07 2.08 2.11 0.00
2.06 2.05 2.05 2.09 0.00
2.06 2.07 2.03 2.04 0.00
2.05 2.09 2.11 2.05 0.00
2.15 2.06 2.09 2.08 0.00
2.15 2.15 2.16 2.14 0.00
2.13 2.09 2.16 2.13 0.00
2.09 2.13 2.12 2.10 0.00
2.15 2.11 2.12 2.14 0.00
2.13 2.08 2.15 2.13 0.00
2.09 2.14 2.09 2.13 0.00
2.12 2.13 2.15 2.05 0.00
2.09 2.08 2.10 2.11 0.00
2.10 2.01 0.03 0.01 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
